iter	Passed	Remaining
757	1149	366
758	1150	365
759	1152	363
760	1154	362
761	1155	360
762	1157	359
763	1158	357
764	1159	356
765	1161	354
766	1162	353
767	1163	351
768	1165	350
769	1166	348
770	1167	346
771	1169	345
772	1170	343
773	1171	342
774	1173	340
775	1174	339
776	1176	337
777	1177	336
778	1178	334
779	1180	332
780	1181	331
781	1182	329
782	1184	328
783	1185	326
784	1187	325
785	1188	323
786	1190	322
787	1191	320
788	1193	319
789	1195	317
790	1196	316
791	1198	314
792	1199	313
793	1200	311
794	1202	310
795	1203	308
796	1205	306
797	1206	305
798	1208	303
799	1209	302
800	1211	300
801	1212	299
802	1213	297
803	1215	296
804	1217	294
805	1218	293
806	1220	291
807	1221	290
808	1222	288
809	1224	287
810	1225	285
811	1226	284
812	1228	282
813	1229	280
814	1231	279
815	1232	277
816	1233	276
817	1234	274
818	1236	273
819	1237	271
820	1238	270
821	1239	268
822	1240	266
823	1242	265
824	1243	263
825	1245	262
826	1246	260
827	1247	259
828	1249	257
829	1250	256
830	1251	254
831	1253	253
832	1254	251
833	1256	250
834	1257	248
835	1259	246
836	1260	245
837	1261	243
838	1263	242
839	1264	240
840	1266	239
841	1267	237
842	1269	236
843	1270	234
844	1272	233
845	1273	231
846	1274	230
847	1276	228
848	1277	227
849	1278	225
850	1280	224
851	1281	222
852	1282	221
853	1284	219
854	1285	218
855	1286	216
856	1288	214
857	1289	213
858	1291	211
859	1292	210
860	1293	208
861	1295	207
862	1296	205
863	1297	204
864	1299	202
865	1300	201
866	1302	199
867	1303	198
868	1304	196
869	1306	195
870	1307	193
871	1308	192
872	1309	190
873	1311	189
874	1312	187
875	1313	185
876	1315	184
877	1316	182
878	1318	181
879	1319	179
880	1320	178
881	1322	176
882	1323	175
883	1324	173
884	1326	172
885	1327	170
886	1328	169
887	1330	167
888	1331	166
889	1333	164
890	1334	163
891	1335	161
892	1337	160
893	1338	158
894	1340	157
895	1341	155
896	1343	154
897	1344	152
898	1345	151
899	1347	149
900	1348	148
901	1349	146
902	1351	145
903	1352	143
904	1353	142
905	1355	140
906	1356	139
907	1358	137
908	1359	136
909	1360	134
910	1362	133
911	1363	131
912	1364	130
913	1365	128
914	1367	127
915	1368	125
916	1369	123
917	1371	122
918	1372	120
919	1373	119
920	1375	117
921	1376	116
922	1378	114
923	1379	113
924	1380	111
925	1382	110
926	1383	108
927	1385	107
928	1387	106
929	1388	104
930	1389	102
931	1390	101
932	1391	99
933	1393	98
934	1394	96
935	1395	95
936	1396	93
937	1397	92
938	1398	90
939	1399	89
940	1401	87
941	1402	86
942	1403	84
943	1404	83
944	1405	81
945	1406	80
946	1408	78
947	1409	77
948	1410	75
949	1411	74
950	1412	72
951	1413	71
952	1415	69
953	1416	68
954	1417	66
955	1418	65
956	1420	63
957	1421	62
958	1422	60
959	1423	59
960	1424	57
961	1425	56
962	1427	54
963	1428	53
964	1429	51
965	1430	50
966	1431	48
967	1433	47
968	1434	45
969	1435	44
970	1436	42
971	1437	41
972	1438	39
973	1440	38
974	1441	36
975	1442	35
976	1443	33
977	1445	32
978	1446	31
979	1447	29
980	1448	28
981	1450	26
982	1451	25
983	1452	23
984	1453	22
985	1454	20
986	1455	19
987	1456	17
988	1458	16
989	1459	14
990	1460	13
991	1461	11
992	1462	10
993	1464	8
994	1465	7
995	1466	5
996	1467	4
997	1469	2
998	1470	1
999	1471	0
